degradation,level,accuracy,recall_def
blur,0.0,0.993006993006993,0.9977924944812362
blur,1.0,0.9748251748251748,0.9624724061810155
blur,2.0,0.8965034965034965,0.8609271523178808
blur,3.0,0.8125874125874126,0.717439293598234
noise,0.0,0.993006993006993,0.9977924944812362
noise,10.0,0.6335664335664336,1.0
noise,25.0,0.6335664335664336,1.0
noise,50.0,0.6335664335664336,1.0
brightness,1.0,0.993006993006993,0.9977924944812362
brightness,0.75,0.6741258741258741,0.9470198675496688
brightness,0.5,0.6335664335664336,1.0
brightness,0.25,0.6335664335664336,1.0
